"I want to fix it for  two years ",2Year
I'd like a 2 year initial term,2Year
I prefer 2 year,2Year
I want to fix it for 2 years,2Year
I'd like a two year initial term,2Year
"I want to fix it for the first 2 years ",2Year
I want a 2 years initial term,2Year
I want a 2-year initial term,2Year
I want to fix the rate for 2 years,2Year
I would like a 2 year initial term,2Year
I want a 2 year introductory term,2Year
I want a two year initial term,2Year
I'll choose a two year initial term,2Year
I'd like a 2 year introductory term,2Year
Give me a 2 year initial term,2Year
I would like a 2-year initial term,2Year
2 years initial term,2Year
I'd like a two year introductory term,2Year
I would like a 2 years initial term,2Year
I want a two year introductory term,2Year
I'll choose a 2 year introductory term,2Year
"I want to fix it for the first two years ",2Year
"I want to fix it for  2 years ",2Year
Give me a 2 years initial term,2Year
2 year initial term,2Year
I'll choose a 2 year initial term,2Year
I prefer 2 years,2Year
I'll choose a two year introductory term,2Year
Give me a 2-year initial term,2Year
I prefer 2-year,2Year
I want a 2 year initial term,2Year
2-year initial term,2Year
"I want to fix it for  3 years ",3Year
I want a 3 year introductory term,3Year
I prefer 3 year,3Year
"I want to fix it for  three years ",3Year
I'd like a three year introductory term,3Year
I would like a 3 years initial term,3Year
I want a 3 years initial term,3Year
I would like a 3-year initial term,3Year
Give me a 3-year initial term,3Year
I'll choose a three year introductory term,3Year
I prefer 3 years,3Year
Give me a 3 years initial term,3Year
I'd like a 3 year initial term,3Year
I'll choose a 3 year introductory term,3Year
Give me a 3 year initial term,3Year
I'll choose a three year initial term,3Year
3 years initial term,3Year
I want a 3 year initial term,3Year
I'll choose a 3 year initial term,3Year
I'd like a 3 year introductory term,3Year
I prefer 3-year,3Year
3 year initial term,3Year
I'd like a three year initial term,3Year
I want a three year initial term,3Year
3-year initial term,3Year
I would like a 3 year initial term,3Year
I want a 3-year initial term,3Year
"I want to fix it for the first 3 years ",3Year
I want a three year introductory term,3Year
I want a five year initial term,5Year
Give me a 5 year initial term,5Year
I would like a 5 years initial term,5Year
Give me a 5-year initial term,5Year
I want a 5 year initial term,5Year
5 year initial term,5Year
I prefer 5 year,5Year
Give me a 5 years initial term,5Year
"I want to fix it for the first 5 years ",5Year
I'd like a five year initial term,5Year
I'll choose a five year initial term,5Year
I prefer 5 years,5Year
5 years initial term,5Year
I'd like a 5 year initial term,5Year
I'll choose a 5 year introductory term,5Year
I would like a 5-year initial term,5Year
I'd like a 5 year introductory term,5Year
I want a 5 years initial term,5Year
I want a 5-year initial term,5Year
5-year initial term,5Year
"I want to fix it for  five years ",5Year
I'll choose a 5 year initial term,5Year
"I want to fix it for  5 years ",5Year
I want a five year introductory term,5Year
I want a 5 year introductory term,5Year
I'll choose a five year introductory term,5Year
I'd like a five year introductory term,5Year
I would like a 5 year initial term,5Year
I prefer 5-year,5Year
I will put the fee on top of the mortgage,feeAdd
Adding it on is what i want,feeAdd
Add it on to the mortgage,feeAdd
add it to the money I'm borrowing,feeAdd
add on,feeAdd
I prefer to add it to the mortgage,feeAdd
Add it on top of the mortgage,feeAdd
Add the fee on please,feeAdd
Adding it on to the mortgage and not having to pay upfront would be best,feeAdd
I prefer its added on the mortgage total,feeAdd
add it onto my mortgage,feeAdd
I want to pay the fee on top of the mortgage,feeAdd
I want to add the fee on,feeAdd
It would be best to add on,feeAdd
Add it to the amount I'm borrowing,feeAdd
It suits me best to add it on to the mortgage,feeAdd
I prefer if I add the fee to the mortgage,feeAdd
Paying the fee on top of the mortgage,feeAdd
I wish to add on the fee,feeAdd
I would add it on,feeAdd
add it to the total borrowing,feeAdd
I want to addon the fee,feeAdd
I would add the fee on,feeAdd
I want to add the fee on to the mortgage,feeAdd
add it on top of the total borrowing,feeAdd
add it on,feeAdd
I want to add the fee to the mortgage,feeAdd
add it to the total mortgage amount,feeAdd
I will add the fee on,feeAdd
stick it in with the mortgage,feeAdd
I would like to add the fee on,feeAdd
Add to the mortgage,feeAdd
add it to the rest of my mortgage,feeAdd
I would prefer to pay the fee up front,feeUpfront
I'll pay the fee up front,feeUpfront
Paying it upfront is my choice,feeUpfront
I prefer upfront,feeUpfront
Pay it upfront,feeUpfront
We'll pay the fee upfront,feeUpfront
Preferably upfront,feeUpfront
Pay it up front,feeUpfront
I want to pay the fee up front,feeUpfront
I will pay upfront,feeUpfront
I want to pay the fee upfront,feeUpfront
I shall pay upfront,feeUpfront
I shall pay the fee up front,feeUpfront
I choose to pay the fee up front,feeUpfront
I'll pay up front,feeUpfront
I would like to pay the fee up front,feeUpfront
I will pay up front,feeUpfront
Pay it upfront I prefer,feeUpfront
I will pay the fee straight away,feeUpfront
Pay the fee upfront,feeUpfront
Preferably up front,feeUpfront
I will pay the fee straightaway,feeUpfront
I wish to pay up front,feeUpfront
Pay the fee up front is what I want,feeUpfront
I would like to pay the fee upfront,feeUpfront
Pay the fee up front,feeUpfront
I would prefer to pay the fee upfront,feeUpfront
We'll pay the fee up front,feeUpfront
I shall pay up front,feeUpfront
Paying it up front is my choice,feeUpfront
Definately paying it upfront,feeUpfront
I prefer up front,feeUpfront
I'll pay the fee upfront,feeUpfront
I choose to pay the fee upfront,feeUpfront
Definately paying it up front,feeUpfront
I shall pay the fee upfront,feeUpfront
Pay it up front I prefer,feeUpfront
Pay the fee upfront is what I want,feeUpfront
I'll pay upfront,feeUpfront
I wish to pay upfront,feeUpfront
Give me fixed,fixedRate
I want a mortgage with a fixed rate,fixedRate
I would prefer a fixed rate for sure,fixedRate
I prefer to have a fixed rate,fixedRate
I want a fixed rate,fixedRate
I would prefer that the rate is fixed,fixedRate
I wish to have a fixed rate,fixedRate
I want the rate to be fixed,fixedRate
I choose a rate that is fixed,fixedRate
Give me a stable and fixed rate on my mortgage,fixedRate
My mortgage rate needs to be fixed,fixedRate
I prefer my mortgage rate to be fixed,fixedRate
Fixed rate,fixedRate
I want a rate that is fixed,fixedRate
I would like a fixed rate,fixedRate
I prefer to pay a fixed rate price,fixedRate
I want the mortgage to be at a fixed rate,fixedRate
I choose a fixed rate,fixedRate
Give me a fixed rate,fixedRate
Rate that is fixed,fixedRate
variable rate,variableRate
I choose a rate that is variable,variableRate
I want a mortgage where the rate varies,variableRate
I want a mortgage with a variable rate,variableRate
I prefer to have a variable rate,variableRate
I would prefer a variable rate for sure,variableRate
I want the rate to be variable,variableRate
Can I have a tracker mortgage,variableRate
Give me variable,variableRate
I would like a variable rate,variableRate
I wish to have a variable rate,variableRate
tracker,variableRate
Rate that is variable,variableRate
My mortgage rate needs to be variable,variableRate
I want a rate that is variable,variableRate
I prefer my mortgage rate to be variable,variableRate
Give me a variable rate,variableRate
I want the mortgage to be at a variable rate,variableRate
I choose a variable rate,variableRate
Give me a tracker mortgage,variableRate
I want a variable rate,variableRate
I would prefer that the rate is variable,variableRate
I require a variable rate,variableRate
I want a tracker mortgage,variableRate
I want to choose a variable rate product,variableRate
A variable rate would suit me best,variableRate
stop asking me,whyAsk
can I skip these questions,whyAsk
I don't see why I need to justify myself to you,whyAsk
why do I have to keep answering these questions,whyAsk
these questions are annoying,whyAsk
is there some way I can skip these questions,whyAsk
why should I tell you,whyAsk
is this the spanish inquisition,whyAsk
what are you asking me for,whyAsk
I don't understand why I need to keep telling you these things,whyAsk
I don't get why you need to know,whyAsk
can't I skip these questions,whyAsk
just let me pick,whyAsk
I shouldn't have to justify myself to you,whyAsk
why do you need to know,whyAsk
why can't I just pick this answer,whyAsk
that's for me to know and you to find out,whyAsk
I just want to continue,whyAsk
why do you need this info,whyAsk
I know what's best for me,whyAsk
I don't want to keep answering these questions,whyAsk
why are you asking,whyAsk
why do you need this information,whyAsk
I want to skip these questions,whyAsk
why are you asking for my rationale,whyAsk
I don't understand why you're asking,whyAsk
why do I need to justify myself to you,whyAsk
why are you interrogating me like this,whyAsk
why are you asking me to justify myself,whyAsk
I don't see why I should tell you that,whyAsk
why do you keep asking me,whyAsk
I object to all these questions,whyAsk
I don't see why I should have to tell you,whyAsk
why do you keep asking me all these questions,whyAsk
I want to qualify for a better rate,BetterRate
I want the keep the rate low,BetterRate
I need to keep the rate down,BetterRate
I don't mind paying the fee so I get a better rate,BetterRate
I want to qualify for a low rate,BetterRate
I want to qualify for a lower rate,BetterRate
I want low monthly payments so I can pay the fee,BetterRate
The overall cost will be less because the rate will be better,BetterRate
Better rate by paying a fee,BetterRate
Paying a fee will get me the best rate,BetterRate
I want the lowest rate so I'm happy to pay a fee to get this,BetterRate
Paying fee means rate is better,BetterRate
I want to qualify for a lower interest rate,BetterRate
Cheaper rate if I pay a fee,BetterRate
I want the best deal,BetterRate
I'd prefer a better rate,BetterRate
Pay a fee to get a better rate,BetterRate
Want to get a better rate,BetterRate
The overall cost will be lower because the rate will be better,BetterRate
If I'd get a better deal then ok I don't mind paying a fee,BetterRate
I'd like a better rate,BetterRate
The total cost will be lower because the rate will be better,BetterRate
I want the best rate,BetterRate
I want the best rate possible so I don't mind paying the fee,BetterRate
The total cost will be less because the rate will be better,BetterRate
If it would result in a better rate,BetterRate
Paying fee ensure I get a better deal,BetterRate
Paying a fee will secure a better rate,BetterRate
I want the best deal so I don't mind paying fees,BetterRate
I want to keep the rate as low as possible,BetterRate
I want a better deal so I don't mind paying the fee,BetterRate
" I want to secure the mortgage rate so I am happy to pay a fee",BetterRate
I want a better rate,BetterRate
If it means I'll get a better rate,BetterRate
I want to qualify for a low interest rate,BetterRate
I'd be happy to pay a fee if it meant I paid less money in interest,BetterRate
Better interest rate,BetterRate
I don't want to pay a higher interest rate,BetterRate
I want to qualify for a better interest rate,BetterRate
I'd prefer a lower interest rate,BetterRate
I'd be prepared to pay a fee if it meant paying less money in interest,BetterRate
I would be prepared to pay a fee if it meant paying less interest,BetterRate
I wouldn't mind paying a fee if it meant paying less interest,BetterRate
I want a lower interest rate so I'll pay the fee,BetterRate
I'd be happy to pay a fee if it meant I paid less interest,BetterRate
I wouldn't mind paying a fee if it meant I paid less money in interest,BetterRate
I wouldn't mind paying a fee if it meant paying less money in interest,BetterRate
I would be prepared to pay a fee if it meant paying less money in interest,BetterRate
I want a lower interest rate,BetterRate
I'd like a lower interest rate,BetterRate
If it means I'll get a lower interest rate,BetterRate
I'd be happy to pay a fee if it meant paying less money in interest,BetterRate
I would like to save money on the interest rate  so I will pay the fee,BetterRate
If it would result in a lower interest rate,BetterRate
it's worth paying a higher fee in order to qualify for a low interest rate,BetterRate
"I've planned to pay a fee ",CanAffordFee
I already planned to pay a fee,CanAffordFee
I've budgeted for paying a fee,CanAffordFee
I've set aside some money to budget for the fee,CanAffordFee
I've set aside some spare money for the fee,CanAffordFee
My budget has factored in paying fees,CanAffordFee
I've made sure I have enough savings to pay the fee,CanAffordFee
I've set aside some budget to put towards the fee,CanAffordFee
I'm saving some money for this,CanAffordFee
I have the money to pay the fee,CanAffordFee
I expected to pay a fee so I've kept some budget aside for this,CanAffordFee
I have plenty of savings,CanAffordFee
I can afford paying up front,CanAffordFee
" I have enough savings to pay now",CanAffordFee
I have enough savings to pay now,CanAffordFee
I can afford to pay it now,CanAffordFee
I have budgeted to pay up front,CanAffordFee
I have enough savings to pay the fee now,CanAffordFee
My budget can withstand paying it up front,CanAffordFee
I have enough money to pay now,CanAffordFee
" I can afford to pay up front",CanAffordFee
Budget ok to pay now,CanAffordFee
My budget can withstand paying it now,CanAffordFee
I can afford to pay now,CanAffordFee
I can afford to pay the fee now and save later,CanAffordFee
I can afford to pay it up front,CanAffordFee
I have budgeted so I can pay it now,CanAffordFee
I've made sure I have enough savings to pay the fee up front so I can avoid paying more interest,CanAffordFee
I can afford to pay it upfront,CanAffordFee
" Paying the fee will save me money in the long run",LongTermSavings
Investing in a fee will save me money later on,LongTermSavings
Paying a fee will save money overall,LongTermSavings
Saving money in the long run is why I would like to pay a fee,LongTermSavings
In the long run paying the fee saves me more money,LongTermSavings
I need to save money over the life of the mortgage,LongTermSavings
Paying a fee will save me money in the long run if I get a lower interest rate,LongTermSavings
Paying the fee will save me money afterwards,LongTermSavings
Save money overall,LongTermSavings
this will save me money in the long run,LongTermSavings
" I'd rather save money in the long run",LongTermSavings
This'll be cheaper in the long run,LongTermSavings
I want to save money in the long run,LongTermSavings
I'd prefer to save money in the long run,LongTermSavings
I'd like to save money in the long run,LongTermSavings
I would like to save money in the long run,LongTermSavings
If it means I'll get to save money in the long run,LongTermSavings
If it would result in saving money in the long run,LongTermSavings
Save money in long term,LongTermSavings
I think this will save me money overall,LongTermSavings
Paying the fees now will save me money later on,LongTermSavings
Saving money in the long run is why I would like to pay a fee upfront,LongTermSavings
Saving later on means that I'm happy to pay the fees now,LongTermSavings
It will save me money in the long run to pay the fee upfront,LongTermSavings
If I pay the fee now I'll save money in the long run,LongTermSavings
