"2 year initial term","2Year"
"2-year initial term","2Year"
"2 years initial term","2Year"
"Give me a 2 year initial term","2Year"
"Give me a 2-year initial term","2Year"
"Give me a 2 years initial term","2Year"
"I'd like a 2 year initial term","2Year"
"I'd like a 2 year introductory term","2Year"
"I'd like a two year initial term","2Year"
"I'd like a two year introductory term","2Year"
"I'll choose a 2 year initial term","2Year"
"I'll choose a 2 year introductory term","2Year"
"I'll choose a two year initial term","2Year"
"I'll choose a two year introductory term","2Year"
"I prefer 2 year","2Year"
"I prefer 2-year","2Year"
"I prefer 2 years","2Year"
"I want a 2 year initial term","2Year"
"I want a 2-year initial term","2Year"
"I want a 2 year introductory term","2Year"
"I want a 2 years initial term","2Year"
"I want a two year initial term","2Year"
"I want a two year introductory term","2Year"
"I want to fix it for  2 years","2Year"
"I want to fix it for 2 years","2Year"
"I want to fix it for the first 2 years","2Year"
"I want to fix it for the first two years","2Year"
"I want to fix it for  two years","2Year"
"I want to fix the rate for 2 years","2Year"
"I would like a 2 year initial term","2Year"
"I would like a 2-year initial term","2Year"
"I would like a 2 years initial term","2Year"
"I don't want to risk being paying a penalty if I change deal after 2 years","2yrAvoidERC"
"I don't want to risk being paying a penalty if I move after 2 years","2yrAvoidERC"
"I don't want to risk being penalised if I change deal after 2 years","2yrAvoidERC"
"I don't want to risk being penalised if I move after 2 years","2yrAvoidERC"
"I want to avoid penalties by getting out of the deal after 2 years","2yrAvoidERC"
"I want to avoid penalties by getting out of the deal ASAP","2yrAvoidERC"
"I want to avoid penalties by getting out of the deal as soon as possible","2yrAvoidERC"
"I want to be out of the early repayment charge period after 2 years","2yrAvoidERC"
"I want to get out of the Early Repayment Charge Period ASAP","2yrAvoidERC"
"I want to get out of the Early Repayment Charge Period as soon as possible","2yrAvoidERC"
"After 2 years I may want to move","2yrPotentialMove"
"I expect I might move after 2 years","2yrPotentialMove"
"I have a potential move in a couple of years","2yrPotentialMove"
"I'll look at getting a new property after 2 years","2yrPotentialMove"
"I'll move house in 2 years","2yrPotentialMove"
"I'll move house in two years","2yrPotentialMove"
"I may have to move after 2 years","2yrPotentialMove"
"I may have to move after 2 years so I want to keep my options open","2yrPotentialMove"
"I'm going to move soon","2yrPotentialMove"
"I might get a new apartment after 2 years","2yrPotentialMove"
"I might move after 2 years","2yrPotentialMove"
"I might move after two years","2yrPotentialMove"
"I'm planning to move after 2 years","2yrPotentialMove"
"I won't stay for long","2yrPotentialMove"
"There's a chance I might move in a couple of years","2yrPotentialMove"
"I might look to move to a different mortgage provider after 2 years","2yrReview"
"I might look to remortgage after a couple of years","2yrReview"
"I might want to change my deal after 2 years","2yrReview"
"I might want to change my deal after two years","2yrReview"
"I might want to change my product after 2 years","2yrReview"
"I might want to change my product after two years","2yrReview"
"I might want to remortgage after 2 years","2yrReview"
"I might want to review my deal after 2 years","2yrReview"
"I might want to review my deal after two years","2yrReview"
"I might want to review my product after 2 years","2yrReview"
"I might want to review my product after two years","2yrReview"
"I'm planning to review my mortgage in 2 years","2yrReview"
"I'm planning to review my mortgage in two years","2yrReview"
"I plan to review my deal after 2 years","2yrReview"
